org_id,org_name_norm,org_name,country,city,org_type,budget_total_received,nb_projects,latitude,longitude
AE_INTERNATIONAL_RENEWABLE_ENERGY_AGENCY_d64d3e93c9,INTERNATIONAL RENEWABLE ENERGY AGENCY,INTERNATIONAL RENEWABLE ENERGY AGENCY,AE,Abu Dhabi,PUB,500000.0,1,24.4332758,54.6177994
AE_KHALIFA_UNIVERSITY_OF_SCIENCE_AND_TECHNOLOGY_ced961c1c1,KHALIFA UNIVERSITY OF SCIENCE AND TECHNOLOGY,Khalifa University of Science and Technology,AE,Abu Dhabi,HES,0.0,1,24.4776466,54.3803223
AE_MASDAR_INSTITUTE_OF_SCIENCE_AND_TECHNOLOGY_NON_PROFIT_INSTIT_8d5376d958,MASDAR INSTITUTE OF SCIENCE AND TECHNOLOGY NON PROFIT INSTITUTION,MASDAR INSTITUTE OF SCIENCE AND TECHNOLOGY NON PROFIT INSTITUTION,AE,ABU DHABI,HES,0.0,1,,
AE_ZAYED_UNIVERSITY_1c3bce238d,ZAYED UNIVERSITY,Zayed University,AE,Dubai,PRC,0.0,1,25.1040444,55.39265724885445
AF_SAMUEL_HALL_CONSULTING_CO_7ca6eb90e2,SAMUEL HALL CONSULTING CO,SAMUEL HALL CONSULTING CO,AF,Kabul,PRC,14026.14,1,,
AI_LADAR_LIMITED_be702ab231,LADAR LIMITED,LADAR LIMITED,AI,The Valley,PRC,695374.76,2,18.2145861,-63.0517758
AI_OFFSHORE_NAVIGATION_LIMITED_261d7404ff,OFFSHORE NAVIGATION LIMITED,OFFSHORE NAVIGATION LIMITED,AI,THE VALLEY,PRC,557762.5,3,18.2145861,-63.0517758
AL_ALJ61826126J_dcd00d3611,PER SHERBIMIN GJEOLOGJIK SHQIPTAR,PER SHERBIMIN GJEOLOGJIK SHQIPTAR,AL,Tirana,REC,38053.13,2,41.31588575,19.900912164461147
AL_ALJ61911026A_13e4c61770,QENDRES SPITALORE UNIVERSITARE NENETEREZA TIRANE,QENDRES SPITALORE UNIVERSITARE NENETEREZA TIRANE,AL,Tirana,,32375.0,1,41.3395584,19.828552
AL_ALJ61915028N_71ae52a1e3,UNIVERSITETI BUJQESOR I TIRANES,UNIVERSITETI BUJQESOR I TIRANES,AL,Tirana,HES,25006.95,1,41.3835259,19.7604224
AL_ALJ61915033D_f9771793e5,UNIVERSITETI I TIRANES,UNIVERSITETI I TIRANES,AL,Tirana,HES,179167.5,1,41.31588575,19.900912164461147
AL_ALJ61918024T_942f6a6a42,INSTITUTE OF PUBLIC HEALTH,INSTITUTE OF PUBLIC HEALTH,AL,Tirana,REC,123900.0,1,41.31588575,19.900912164461147
AL_ALJ61929020T_3bda5286fa,UNIVERSITETI POLITEKNIK I TIRANES,UNIVERSITETI POLITEKNIK I TIRANES,AL,Tirana,HES,35700.0,1,41.31588575,19.9009121644611
AL_ALJ61929021E_065b6f181c,TELECOMMUNICATION AND COMPUTER NETWORKING TCN SHPK,TELECOMMUNICATION AND COMPUTER NETWORKING TCN SHPK,AL,Tirana,PRC,36000.0,1,41.3742916,19.627156682073814
AL_ALJ72317004I_79006c9c08,CO PLAN INSTITUTI PER ZHVILLIMIN EHABIITATIT,CO-PLAN INSTITUTI PER ZHVILLIMIN EHABIITATIT,AL,Tirana,REC,224000.0,2,41.31588575,19.9009121644611
AL_ALJ82025002B_d6067d360c,UFO,UFO,AL,Tirana,HES,249778.75,2,41.31588575,19.900912164461147
AL_ALK02218001D_e3039a5be6,SHOQATA KOMBETARE E JETIMEVE TE SHQIPERISE,SHOQATA KOMBETARE E JETIMEVE TE SHQIPERISE,AL,TIRANA,OTH,376550.0,1,41.3307123,19.819171
AL_ALK31610206F_912ff1b3c9,AUSTRIAN INSTITUTE OF EXCELLENCE,AUSTRIAN INSTITUTE OF EXCELLENCE,AL,TIRANA,PRC,114331.25,1,41.3307123,19.819171
AL_ALK36813001H_1c53c0de1d,BASHKIA SHKODER,BASHKIA SHKODER,AL,Shkodër,PUB,29422.5,1,42.0644979,19.5113134
AL_ALK42002003G_88add5559a,INSTITUTI PER DEMOKRACI DHE NDERMJETESIM,INSTITUTI PER DEMOKRACI DHE NDERMJETESIM,AL,Tirana,REC,28945.0,1,41.31588575,19.900912164461147
AL_ALK42101801N_3071213294,OPERATORI SISTEMIT TE TRANSMETIMITOST SHOQERI ANONIME,OPERATORI SISTEMIT TE TRANSMETIMITOST - SHOQERI ANONIME,AL,Tirana,PRC,100625.0,2,41.3279457,19.8185323
AL_ALK49719214P_e02760b019,BASHKIA PERMET,BASHKIA PERMET,AL,Permet,PUB,26875.0,1,40.2330281,20.3530767
AL_ALK52409010O_e9f425a695,INSTITUTI PER RUAJTJEN E NATYRES SHQIPTARE SHOQATA,INSTITUTI PER RUAJTJEN E NATYRES SHQIPTARE SHOQATA,AL,TIRANA,OTH,47562.5,1,41.31588575,19.9009121644611
AL_ALK62308008S_b1ab3387b8,UNIVERSITETI POLIS SHPK,UNIVERSITETI POLIS SHPK,AL,Tirana,HES,13500.0,1,41.31588575,19.9009121644611
AL_ALK72219020V_16e948f9a2,QENDRA E KERKIMEVE HISTORIKE DHE ANTROPOLOGJIKE,QENDRA E KERKIMEVE HISTORIKE DHE ANTROPOLOGJIKE,AL,TIRANA,REC,161075.0,1,41.31588575,19.9009121644611
AL_ALK91527452Q_ba7a3fc146,AKADEMIA E STUDIMEVE ALBANOLOGJIKE,AKADEMIA E STUDIMEVE ALBANOLOGJIKE,AL,Tirana,HES,137679.36,1,41.31588575,19.900912164461147
AL_ALK91714011M_d1957d6548,UNIVERSITETI METROPOLITAN TIRANA,UNIVERSITETI METROPOLITAN TIRANA,AL,Tirana,HES,66150.0,1,41.31588575,19.900912164461147
AL_ALL01311454H_9567e3f3d7,MILIEUKONTAKT SHQIPERI,MILIEUKONTAKT SHQIPERI,AL,Tirana,OTH,179262.5,1,41.31588575,19.900912164461147
AL_ALL01519452O_71eec1a908,AUTORITETI KOMBETAR I USHQIMIT,AUTORITETI KOMBETAR I USHQIMIT,AL,Tirana,PUB,12000.0,1,41.31588575,19.900912164461147
AL_ALL01524455R_909d3e83ac,QENDRES SE SHENDETIT DHE MIREQENIES KOMUNITARE,QENDRES SE SHENDETIT DHE MIREQENIES KOMUNITARE,AL,TIRANA,OTH,196390.0,2,41.3279457,19.8185323
AL_ALL01711452D_6dcceb00b9,AGJENCIA KOMB TARE E PLANIFIKIMIT T TERRITORIT,AGJENCIA KOMBËTARE E PLANIFIKIMIT TË TERRITORIT,AL,Tirana,PUB,526796.25,2,41.31588575,19.900912164461147
AL_ALL01921751A_294f1dc0ec,GENERAL MARITIME DIRECTORATE,General Maritime Directorate,AL,Durrës,PUB,65000.0,1,41.3188294,19.4451631
AL_ALL11415016S_b453c9d8a3,DBS GROUP,DBS GROUP,AL,Tirana,PRC,0.0,1,41.3307123,19.819171
AL_ALL31512451U_90057093a2,UNIVERSITETI I MJEKESISE TIRANE,UNIVERSITETI I MJEKESISE TIRANE,AL,Tirana,HES,1049462.16,2,41.3424517,19.8338178
AL_ALL32420451N_9a33a32b61,ALBANIAN UNIVERSITY CENTER,ALBANIAN UNIVERSITY CENTER,AL,TIRANA,REC,444940.0,1,41.31588575,19.900912164461147
AL_ALL41518451F_699b358e6f,QENDRA E KERKIMEVE DHE PROMOVIMIT TE PEISAZHEVE HISTORIKO ARKEOLOGJIKE SHQIPTARE,QENDRA E KERKIMEVE DHE PROMOVIMIT TE PEISAZHEVE HISTORIKO-ARKEOLOGJIKE SHQIPTARE,AL,Tirana,REC,159375.0,1,41.31588575,19.900912164461147
AL_ALL62127451O_5371565301,AGJENCIA KOMBETARE E KERKIMIT SHKENCOR DHE INOVACIONIT,AGJENCIA KOMBETARE E KERKIMIT SHKENCOR DHE INOVACIONIT,AL,TIRANA,REC,51113.76,4,41.31588575,19.900912164461147
AL_DIRECTORATE_GENERAL_OF_CUSTOMS_OF_ALBANIA_674d9d8c50,DIRECTORATE GENERAL OF CUSTOMS OF ALBANIA,DIRECTORATE GENERAL OF CUSTOMS OF ALBANIA,AL,Tirana,PUB,42937.5,1,41.3338119,19.8019847
AL_DREJTORIA_E_PERGJITSHME_E_POLICISE_ASP_95e39c4604,DREJTORIA E PERGJITSHME E POLICISE ASP,DREJTORIA E PERGJITSHME E POLICISE ASP,AL,TIRANA,PUB,42270.0,1,41.3279457,19.8185323
AL_MINISTIRIA_E_TURIZMIT_DHE_MJEDISIT_ec07966ba7,MINISTIRIA E TURIZMIT DHE MJEDISIT,MINISTIRIA E TURIZMIT DHE MJEDISIT,AL,Tirana,PUB,51875.0,1,41.31588575,19.900912164461147
