project_id,project_title,program,start_date,end_date,topic_label,project_budget_eur
889026,Advanced manufacturing though data analytics and intelligent insights,h2020_projects_trimmed,2019-12-01,2020-04-30,EIC-SMEInst-2018-2020,71429.0
637014,Virtualization of Real Flows for Animation and Simulation,h2020_projects_trimmed,2015-05-01,2020-08-31,ERC-StG-2014,1465603.75
885818,Deciphering the developmental roots of childhood sarcoma cells – combining single cell sequencing technologies and machine learning,h2020_projects_trimmed,2020-11-09,2022-11-08,MSCA-IF-2019,224933.76
957080,XnFinity Artificial Intelligence for Retail,h2020_projects_trimmed,2020-09-01,2021-12-31,INNOSUP-02-2019-2020,0.0
777640,My TRAvel Companion,h2020_projects_trimmed,2017-09-01,2020-12-31,S2R-OC-IP4-01-2017,3494476.25
775371,Next Generation ‘Unified Guest Engagement System’ for Smart Hospitality Services and Unparalleled Guest Loyalty.,h2020_projects_trimmed,2017-06-01,2017-11-30,SMEInst-01-2016-2017,71429.0
946013,Smartphone-based monitoring of jaundice in newborns,h2020_projects_trimmed,2020-03-01,2022-08-31,EIC-SMEInst-2018-2020,2382005.0
637960,Computational Biophotonics for Endoscopic Cancer Diagnosis and Therapy,h2020_projects_trimmed,2015-07-01,2020-12-31,ERC-StG-2014,1499699.0
803063,Studying Cancer Individuality by Personal and Predictive Drug Screening and Differential OMICs,h2020_projects_trimmed,2018-11-01,2024-04-30,ERC-2018-STG,1500000.0
741450,Industrial IoT Communication and Analytics Platform for Smart Maintenance,h2020_projects_trimmed,2016-11-01,2017-02-28,SMEInst-01-2016-2017,71429.0
714150,Fast Natural Language Parsing for Large-Scale NLP,h2020_projects_trimmed,2017-02-01,2022-07-31,ERC-2016-STG,1481747.0
761634,FuturePulse: Multimodal Predictive Analytics and Recommendation Services for the Music Industry,h2020_projects_trimmed,2017-09-01,2020-11-30,ICT-19-2017,2898875.0
854926,A remote and price efficient tool for jaundice screening,h2020_projects_trimmed,2019-02-01,2019-05-31,EIC-SMEInst-2018-2020,71429.0
966721,The Picture Pile Platform,h2020_projects_trimmed,2021-07-01,2023-06-30,ERC-2020-POC,0.0
952060,"Transparent, Reliable and Unbiased Smart Tool for AI",h2020_projects_trimmed,2020-10-01,2025-03-31,FETPROACT-EIC-05-2019,3996418.75
101003469,EXTREME EVENTS: ARTIFICIAL INTELLIGENCE FOR DETECTION AND ATTRIBUTION,h2020_projects_trimmed,2021-09-01,2026-02-28,LC-CLA-12-2020,5999241.75
957164,Prostate MR Medical Imaging Biomarker Platform,h2020_projects_trimmed,2020-10-01,2021-09-30,INNOSUP-02-2019-2020,0.0
945943,Innovative platform for  fresh-produce quality control,h2020_projects_trimmed,2020-06-01,2022-11-30,EIC-SMEInst-2018-2020,3203750.0
833276,Intelligence Network and Secure Platform for Evidence Correlation and Transfer (INSPECTr),h2020_projects_trimmed,2019-09-01,2023-02-28,SU-FCT02-2018-2019-2020,6997910.0
